plant,pop,watering,inoc,days_to_flower,flower_include,soil_moist_3_7,health_inoc_leaf_3_31,SLA_leaf_area,SLA_dry_leaf_weight,sla
433,arb04,wet,fungus,43,43,33,6,2.262,0.0056,403.9285714
434,arb04,wet,fungus,55,55,23.6,NA,NA,NA,NA
435,arb04,wet,fungus,46,46,30.1,NA,NA,NA,NA
436,arb04,wet,fungus,121,NA,24.6,NA,NA,NA,NA
437,arb04,wet,fungus,41,41,28.3,9,1.868,0.0037,504.8648649
438,arb04,wet,fungus,46,46,27.9,NA,NA,NA,NA
439,arb04,wet,fungus,55,55,25,5,2.197,0.0049,448.3673469
440,arb04,wet,fungus,55,55,30.1,5,2.605,0.0065,400.7692308
441,arb04,wet,fungus,41,41,27.2,9,2.188,0.0056,390.7142857
442,arb04,wet,fungus,33,33,34.8,NA,NA,NA,NA
443,arb04,wet,fungus,55,55,29.3,NA,NA,NA,NA
444,arb04,wet,fungus,46,46,27.2,NA,NA,NA,NA
445,arb04,wet,fungus,121,NA,31.1,NA,NA,NA,NA
446,arb04,wet,fungus,33,33,28.6,NA,NA,NA,NA
447,arb04,wet,fungus,55,55,36.2,9,2.558,0.0052,491.9230769
448,arb04,wet,fungus,121,NA,31.5,9,2.094,0.0046,455.2173913
449,arb04,wet,fungus,38,38,34,9,5.161,0.0087,593.2183908
450,arb04,wet,fungus,38,38,27.5,NA,NA,NA,NA
451,arb04,wet,fungus,58,58,25.4,2,NA,NA,NA
452,arb04,wet,fungus,41,41,24.3,5,2.773,0.0052,533.2692308
453,arb04,wet,fungus,38,38,25.7,8,NA,NA,NA
454,arb04,wet,fungus,55,55,24.6,10,2.683,0.0061,439.8360656
455,arb04,wet,fungus,38,38,23.9,9,2.718,0.0065,418.1538462
456,arb04,wet,fungus,38,38,25,6,2.523,0.0051,494.7058824
457,arb04,wet,fungus,43,43,17.8,2,5.112,0.0111,460.5405405
458,arb04,wet,fungus,55,55,21.4,2,NA,NA,NA
459,arb04,wet,fungus,49,49,25.4,7,2.312,0.004,578
460,arb04,wet,fungus,41,41,23.2,9,2.291,0.0053,432.2641509
461,arb04,wet,fungus,38,38,18.9,9,NA,NA,NA
462,arb04,wet,fungus,43,43,25.7,5,NA,NA,NA
463,arb04,wet,fungus,38,38,24.3,4,4.291,0.0085,504.8235294
464,arb04,wet,fungus,41,41,23.2,9,1.698,0.0038,446.8421053
465,arb04,wet,fungus,43,43,19.6,8,NA,NA,NA
466,arb04,wet,fungus,43,43,26.4,5,NA,NA,NA
467,arb04,wet,fungus,43,43,24.3,9,NA,NA,NA
468,arb04,wet,fungus,49,49,25.4,3,NA,NA,NA
469,arb04,wet,fungus,41,41,28.3,9,NA,NA,NA
470,arb04,wet,fungus,46,46,26.1,NA,2.417,0.0043,562.0930233
471,arb04,wet,fungus,58,58,27.5,5,NA,NA,NA
472,arb04,wet,fungus,46,46,24.3,NA,2.74,0.0055,498.1818182
473,arb04,wet,fungus,41,41,21.6,5,NA,NA,NA
474,arb04,wet,fungus,55,55,24.7,NA,6.739,0.0108,623.9814815
