Species Name,Wing Length,Tail Length
Mionectes macconnelli,60.7,49.8
Mionectes oleagineus,60.5,48.2
Mionectes olivaceus,69,40
Mionectes roraimae,60.7,49.8
Mionectes rufiventris,68.4,55
Mionectes striaticollis,66.8,53.7
Mitrephanes olivaceus,66.5,58.5
Mitrephanes phaeocercus,70,63
Muscigralla brevicauda,60.9,35
Muscipipra vetula,112.2,112.4
Muscisaxicola albifrons,159.8,93.4
Muscisaxicola albilora,113.7,70
Muscisaxicola alpinus,126.3,78.7
Muscisaxicola capistratus,114.6,68.8
Muscisaxicola cinereus,105.6,66.5
Muscisaxicola flavinucha,137.5,78.3
Muscisaxicola fluviatilis,73.5,50.6
Muscisaxicola frontalis,117.3,72.8
Muscisaxicola griseus,120.2,79.6
Muscisaxicola juninensis,111.4,72.2
Muscisaxicola maclovianus,104.1,65.8
Muscisaxicola maculirostris,85.5,61.3
Muscisaxicola occipitalis,116,77
Muscisaxicola rufivertex,101.5,69.4
Myiarchus antillarum,85.3,77.5
Myiarchus apicalis,87.4,88.8
Myiarchus barbirostris,71.2,69.8
Myiarchus cephalotes,88.8,87.4
Myiarchus cinerascens,96,89.7
Myiarchus crinitus,98.8,88.1
Myiarchus ferox,85.8,86.9
Myiarchus magnirostris,67,64.2
Myiarchus nugator,95.8,89.8
Myiarchus nuttingi,83.2,81.9
Myiarchus oberi,95.8,89
Myiarchus panamensis,90.4,88.6
Myiarchus phaeocephalus,93,89.8
Myiarchus sagrae,82,80
Myiarchus semirufus,87.8,87.5
Myiarchus stolidus,85.2,84
Myiarchus swainsoni,88.6,82.9
Myiarchus tuberculifer,80.4,76.5
Myiarchus tyrannulus,92,85.7
Myiarchus validus,101.8,98
Myiarchus venezuelensis,91,89
Myiarchus yucatanensis,81.4,85
Myiodynastes bairdii,116,94
Myiodynastes chrysocephalus,106,89.1
Myiodynastes hemichrysus,99.5,82.1
Myiodynastes luteiventris,109.3,79.9
Myiodynastes maculatus,107.9,79
Myiodynastes solitarius,105.4,89.3
Myiopagis caniceps,59.4,52.7
Myiopagis cinerea,57.2,48
Myiopagis cotta,66.2,63.2
Myiopagis flavivertex,61.5,56.2
Myiopagis gaimardii,57.3,52.8
Myiopagis olallai,58.9,50.7
Myiopagis parambae,59.4,52.7
Myiopagis subplacens,68.5,65.5
Myiopagis viridicata,60,55.3
Myiophobus crypterythrus,60.2,54.8
Myiophobus cryptoxanthus,58.5,54.5
Myiophobus fasciatus,58.9,54.1
Myiophobus flavicans,68,55.8
Myiophobus inornatus,62,49.9
Myiophobus phoenicomitra,62.2,53
Myiophobus roraimae,66.4,59
Myiophobus rufescens,61,53
Myiornis albiventris,37.4,24
Myiornis atricapillus,34.5,16.1
Myiornis auricularis,39.8,27.5
Myiornis ecaudatus,32,16.6
Myiotheretes fumigatus,110.1,84.8
Myiotheretes fuscorufus,101,80.7
Myiotheretes pernix,100,83.8
Myiotheretes striaticollis,140.1,98.8
Myiotriccus ornatus,59.6,41.2
Myiotriccus phoenicurus,63,51.4
Myiozetetes cayanensis,84.1,71.4
Myiozetetes granadensis,86.6,66.8
Myiozetetes luteiventris,73.6,62.6
Myiozetetes similis,87,69.1
Neopipo cinnamomea,50.4,34.8
Neoxolmis rufiventris,151.8,91.3
Nephelomyias lintoni,59,48.7
Nephelomyias ochraceiventris,65.8,65.4
Nephelomyias pulcher,54.1,42.1
Nesotriccus ridgwayi,60.5,53.8
Ochthoeca cinnamomeiventris,63.3,54.4
Ochthoeca fumicolor,82.7,74.7
Ochthoeca leucophrys,75.7,68.1
Ochthoeca nigrita,61.4,46
Ochthoeca oenanthoides,82.1,68.4
Ochthoeca piurae,60,54.2
Ochthoeca rufipectoralis,66.3,61.5
Ochthoeca salvini,67.4,62.2
Ochthoeca superciliosa,82.7,74.7
Ochthoeca thoracica,67.5,61.4
Ochthornis littoralis,70.2,54.6
Oncostoma cinereigulare,48.5,37.3
Oncostoma olivaceum,45,32.6
Ornithion brunneicapillus,43.5,27.1
Ornithion inerme,43.7,31.6
Ornithion semiflavum,44.8,25
Phaeomyias murina,55,51.2
Phaeomyias tumbezana,60.8,58.5
Phelpsia inornata,98,84.5
Philohydor lictor,86.8,74.2
Phyllomyias burmeisteri,63.9,48.1
Phyllomyias cinereiceps,62.9,46.1
Phyllomyias fasciatus,57.2,49.1
Phyllomyias griseiceps,51.6,45.2
Phyllomyias griseocapilla,56.5,46.8
Phyllomyias nigrocapillus,60.1,47.5
Phyllomyias plumbeiceps,59.8,55.2
Phyllomyias reiseri,57.1,52.9
Phyllomyias sclateri,60.1,55.7
Phyllomyias urichi,56.6,55
Phyllomyias uropygialis,59.9,46.6
Phyllomyias virescens,60.3,60.5
Phyllomyias weedeni,53.7,47
