Species name,Body Mass (g),Brain Mass (g)
Loxia leucoptera,32.8,1.51
Loxia pytyopsittacus,54.4,1.82
Luscinia luscinia,25,0.75
Luscinia megarhynchos,20.1,0.73
Lymnocryptes minumus,50.2,0.914
Melanitta fusca,1762,7.25
Melanitta mnigra,950,5.689
Melanocorypha calandra,61.4,1.36
Mergus albellus,650,4.4
Mergus merganser,1470.5,7.007
Mergus serrator,1021.5,4.917
Merops apiaster,55.1,0.798
Milvus migrans,828.5,6.6
Milvus milvus,1121.9,7.3
Monticola solitarius,47.3,1.364
Montifringilla nivalis,36,1.09
Morus bassanus,2999.5,19.2
Motacilla alba,20.75,0.532
Motacilla cinerea,17.35,0.526
Motacilla flava,17.45,0.426
Muscicapa striata,15.2,0.477
Neophron percnopterus,1977,11
Netta rufina,1115,4.9
Nucifraga caryocatactes,193,5.502
Numenius arquata,725,4.045
Numenius phaeopus,383,1.7
Nycticorax nycticorax,636,5.9
Oceanodroma leucorrhoa,45.35,0.8
Oenanthe oenanthe,23.95,0.685
Oriolus oriolus,71.05,1.309
Otis tarda,7895.5,10.8
Pandion haliateus,1527.5,9.6
Panurus biarmicus,15.3,0.524
Parus cyaneus,12.55,0.66
Parus major,18.5,0.85
Parus montanus,11.65,0.79
Parus palustris,11.9,0.72
Passer domesticus,30.2,0.904
Passer hispaniolensis,27.7,0.93
Passer montanus,22.1,0.758
Pelecanus onocrotalus,9520,33
Perdix perdix,382,1.55
Periparus ater,9.45,0.569
Pernis apivorus,762.5,7.641
Phalacrocorax carbo,2200,99.863
Phalacrocorax pygmaeus,700,4.7
Phalaropus fulicaria,49.4,0.58
Phalaropus lobatus,35.3,0.47
Phasianus colchicus,1087.5,4.12
Philomachus pugnax,158.5,1.7
Phoenicopterus ruber,3052,9.702
Phoenicurus ochruros,15.75,0.55
Phoenicurus phoenicurus,15.25,0.493
Phylloscopus bonelli,7.4,0.36
Phylloscopus collybita,7.7,0.362
Phylloscopus trochilus,8.85,0.31
Pica pica,228,5.58
Picoides tridactylus,55.2,2.72
Picus canus,136.5,3.6
Picus viridis,193.5,4.32
Pinicola enucleator,65.7,1.64
Platalea leucorodia,1261.5,10.8
Plectrophenax nivalis,34.8,1.06
Plegadis falcinellus,633.75,4.6
Pluvialis apricaria,175.5,2.195
Pluvialis squatarola,240.4,2.39
Podiceps auritus,449.5,2.4
Podiceps cristatus,875,3.76
Podiceps grisegena,829.45,2.936
Polystictus stelleri,869.5,5.47
Porphyrio porphyrio,796.5,5.1
Porzana porzana,80.8,1.2
Prunella collaris,39.55,0.97
Prunella modularis,21.25,0.681
Prunella montanella,17.45,0.62
Pyrrhocorax graculus,230.35,3.2
Pyrrhocorax pyrrhocorax,254.75,5.9
